CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25072340,EEEF ALCEU DO AMOROSO LIMA,2011,5.4
25072340,EEEF ALCEU DO AMOROSO LIMA,2013,4.9
25072340,EEEF ALCEU DO AMOROSO LIMA,2015,5.1
25072340,EEEF ALCEU DO AMOROSO LIMA,2017,4.6
25072366,EEEF FAZENDA VELHA,2009,3.7
25072374,EEEF MA EMILIA O DE ALMEIDA,2005,2.7
25072374,EEEF MA EMILIA O DE ALMEIDA,2007,1.8
25072552,EMEF DR CHATEAUBRIAND,2005,2.9
25072552,EMEF DR CHATEAUBRIAND,2007,2.6
25072552,EMEF DR CHATEAUBRIAND,2009,3.2
25072552,EMEF DR CHATEAUBRIAND,2013,2.6
25072552,EMEF DR CHATEAUBRIAND,2015,3.4
25072552,EMEF DR CHATEAUBRIAND,2017,3.9
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2005,2.9
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2007,3.1
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2009,2.7
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2011,3.5
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2013,3.5
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2015,3.7
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO,2017,3.9
25072889,ESCOLA SANTO ANTONIO 1,2005,4.5
25072889,ESCOLA SANTO ANTONIO 1,2007,5.3
25072889,ESCOLA SANTO ANTONIO 1,2009,5.6
25072889,ESCOLA SANTO ANTONIO 1,2011,6.1
25072889,ESCOLA SANTO ANTONIO 1,2013,5.9
25072889,ESCOLA SANTO ANTONIO 1,2015,6
25072889,ESCOLA SANTO ANTONIO 1,2017,6.2
25073567,EMEF AGEU GENUINO DA SILVA,2005,2.2
25073567,EMEF AGEU GENUINO DA SILVA,2011,4
25073567,EMEF AGEU GENUINO DA SILVA,2013,5.5
25073567,EMEF AGEU GENUINO DA SILVA,2015,5.6
25073567,EMEF AGEU GENUINO DA SILVA,2017,6.4
25073575,EMEF AMARO DA COSTA BARROS,2005,2.9
25073575,EMEF AMARO DA COSTA BARROS,2007,2.5
