NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA,NO_ESCOLA,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2015,25,PB,2504009,Campina Grande,25071106,COLEGIO IMACULADA CONCEICAO,4,1,137,0.0,129,94.16,640.28,572.52,580.3,603.89,783.57,,,Grupo 5,60.2,86.05,99.0,1.0,0.0,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25071106,COLEGIO IMACULADA CONCEICAO,4,1,165,,105,63.6,621.64,628.27,590.57,612.14,688.1,,,,,,90.0,10.0,0.0,Maior que 90 alunos
2013,25,PB,2504009,Campina Grande,25071106,COLEGIO IMACULADA CONCEICAO,4,1,158,0.0,156,98.73,623.85,564.01,579.11,651.05,704.08,,,,71.1,,89.2,8.8,2.0,Maior que 90 alunos
2010,25,PB,2504009,Campina Grande,25071114,COLEGIO MONTE SIAO LTDA,4,1,15,,16,100.0,570.34,503.36,541.54,523.84,654.69,,,,,,95.4,4.6,0.0,De 1 a 30 alunos
2011,25,PB,2504009,Campina Grande,25071114,COLEGIO MONTE SIAO LTDA,4,1,20,,15,75.0,512.03,497.64,563.79,516.95,605.33,,,,,,97.8,0.0,2.2,De 1 a 30 alunos
2013,25,PB,2504009,Campina Grande,25071440,EDUCANDARIO DANTAS LTDA,4,1,21,0.0,19,90.48,553.22,478.08,529.84,545.68,566.32,,,,72.7,,93.7,6.3,0.0,De 1 a 30 alunos
2012,25,PB,2504009,Campina Grande,25071440,EDUCANDARIO DANTAS LTDA,4,1,14,,13,92.86,555.89,478.85,485.51,545.95,575.38,,,,,,94.6,5.4,0.0,De 1 a 30 alunos
2011,25,PB,2504009,Campina Grande,25071440,EDUC DANTAS LTDA,4,1,35,,28,80.0,495.74,488.93,547.89,524.55,589.29,,,,,,87.9,12.1,0.0,De 31 a 60 alunos
2010,25,PB,2504009,Campina Grande,25071440,EDUC DANTAS LTDA,4,1,30,,25,83.3,562.17,498.65,543.63,530.74,573.0,,,,,,100.0,0.0,0.0,De 1 a 30 alunos
2011,25,PB,2504009,Campina Grande,25071491,COLEGIO ROSA MISTICA,4,1,24,,18,75.0,500.39,492.67,546.07,543.86,584.44,,,,,,95.7,2.9,1.4,De 1 a 30 alunos
2012,25,PB,2504009,Campina Grande,25071491,COLEGIO ROSA MISTICA,4,1,19,,19,100.0,561.41,494.21,507.81,537.98,531.58,,,,,,95.2,4.8,0.0,De 1 a 30 alunos
2013,25,PB,2504009,Campina Grande,25071491,COLEGIO ROSA MISTICA,4,1,16,0.0,16,100.0,565.1,510.2,530.54,545.87,571.25,,,,80.0,,89.8,10.2,0.0,De 1 a 30 alunos
2014,25,PB,2504009,Campina Grande,25071491,COLEGIO ROSA MISTICA,4,1,33,0.0,29,87.88,608.86,536.97,560.83,565.39,632.41,,,,82.2,75.86,100.0,0.0,0.0,De 31 a 60 alunos
2015,25,PB,2504009,Campina Grande,25071491,COLEGIO ROSA MISTICA,4,1,35,0.0,32,91.43,596.91,498.13,531.4,494.81,621.25,,,Grupo 3,86.0,84.38,,,,De 31 a 60 alunos
2011,25,PB,2504009,Campina Grande,25071661,ESC CENECISTA CONEGO PEDRO SERRAO,4,1,33,,27,81.82,471.38,469.81,512.5,485.1,558.52,,,,,,89.8,10.2,0.0,De 31 a 60 alunos
2014,25,PB,2504009,Campina Grande,25071661,ESC CENECISTA CONEGO PEDRO SERRAO,4,1,18,0.0,18,100.0,557.2,490.32,517.36,476.9,597.78,,,,37.8,77.78,81.8,18.2,0.0,De 1 a 30 alunos
2012,25,PB,2504009,Campina Grande,25071661,ESC CENECISTA CONEGO PEDRO SERRAO,4,1,38,,32,84.21,523.72,457.77,485.48,502.34,552.5,,,,,,95.7,3.4,0.9,De 31 a 60 alunos
2010,25,PB,2504009,Campina Grande,25071661,ESC CENECISTA CONEGO PEDRO SERRAO,4,1,32,,24,75.0,512.65,461.44,509.31,467.83,636.9,,,,,,92.2,7.8,0.0,De 31 a 60 alunos
2015,25,PB,2504009,Campina Grande,25071661,ESC CENECISTA CONEGO PEDRO SERRAO,4,1,19,0.0,18,94.74,538.38,482.83,498.89,451.68,563.33,,,Grupo 3,43.2,61.11,93.3,6.7,0.0,De 1 a 30 alunos
2013,25,PB,2504009,Campina Grande,25071661,ESC CENECISTA CONEGO PEDRO SERRAO,4,1,35,0.0,32,91.43,508.69,467.2,465.61,483.38,510.63,,,,32.5,,87.5,12.5,0.0,De 31 a 60 alunos
2010,25,PB,2504009,Campina Grande,25071874,ESCOLA DE ENSINO MEDIO REGINA COELI LTDA,4,1,53,,55,100.0,591.73,535.77,562.02,587.22,668.52,,,,,,90.7,8.3,1.0,De 31 a 60 alunos
2011,25,PB,2504009,Campina Grande,25071874,ESCOLA DE ENSINO MEDIO REGINA COELI LTDA,4,1,53,,44,83.02,537.37,527.94,570.03,596.06,631.82,,,,,,95.4,4.6,0.0,De 31 a 60 alunos
2009,25,PB,2504009,Campina Grande,25071874,ESCOLA DE ENSINO MEDIO REGINA COELI LTDA,4,1,66,,34,51.5,518.2,528.7,531.6,513.15,575.0,,,,,,,,,De 61 a 90 alunos
2012,25,PB,2504009,Campina Grande,25071882,ESCOLA SANTO ONOFRE,4,1,51,,49,96.08,563.52,498.13,525.78,529.23,603.27,,,,,,96.0,3.4,0.6,De 31 a 60 alunos
