CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25072145,EEEFM DOM LUIZ GONZAGA FERNANDES,2015,3.3
25072145,EEEFM DOM LUIZ GONZAGA FERNANDES,2017,3.6
25072153,EEEFM SEVERINO CABRAL,2005,3.2
25072153,EEEFM SEVERINO CABRAL,2007,3.7
25072153,EEEFM SEVERINO CABRAL,2009,4
25072153,EEEFM SEVERINO CABRAL,2011,4.4
25072161,EEEF NOSSA SENHORA DO ROSARIO,2005,2.8
25072161,EEEF NOSSA SENHORA DO ROSARIO,2007,2.9
25072161,EEEF NOSSA SENHORA DO ROSARIO,2009,2.8
25072161,EEEF NOSSA SENHORA DO ROSARIO,2011,3.5
25072161,EEEF NOSSA SENHORA DO ROSARIO,2013,4.5
25072161,EEEF NOSSA SENHORA DO ROSARIO,2015,4.5
25072161,EEEF NOSSA SENHORA DO ROSARIO,2017,4.7
25072170,EMEF ADV OTAVIO AMORIM,2017,4.9
25072196,EEEF ANTONIO VICENTE,2005,2.7
25072196,EEEF ANTONIO VICENTE,2007,3.4
25072196,EEEF ANTONIO VICENTE,2009,3.2
25072196,EEEF ANTONIO VICENTE,2011,2.8
25072196,EEEF ANTONIO VICENTE,2013,3.9
25072196,EEEF ANTONIO VICENTE,2015,4.1
25072196,EEEF ANTONIO VICENTE,2017,4.2
25072218,EEEFM CLEMENTINO PROCOPIO,2005,3.8
25072218,EEEFM CLEMENTINO PROCOPIO,2007,2.1
25072218,EEEFM CLEMENTINO PROCOPIO,2009,1.9
25072218,EEEFM CLEMENTINO PROCOPIO,2011,2.4
25072218,EEEFM CLEMENTINO PROCOPIO,2013,1.9
25072218,EEEFM CLEMENTINO PROCOPIO,2015,2.8
25072226,EEEF DE APLICACAO,2005,3.2
25072226,EEEF DE APLICACAO,2007,4.3
25072226,EEEF DE APLICACAO,2009,3.5
25072226,EEEF DE APLICACAO,2011,3.7
25072226,EEEF DE APLICACAO,2013,3.3
25072226,EEEF DE APLICACAO,2015,3.6
25072226,EEEF DE APLICACAO,2017,3.4
25072234,EEEF DE MONTE SANTO,2005,2.1
25072234,EEEF DE MONTE SANTO,2007,2.6
25072234,EEEF DE MONTE SANTO,2009,2.8
25072234,EEEF DE MONTE SANTO,2011,3
25072234,EEEF DE MONTE SANTO,2013,2.4
25072234,EEEF DE MONTE SANTO,2015,2.4
25072234,EEEF DE MONTE SANTO,2017,3.9
25072242,EEEF JOSE PINHEIRO,2005,1.8
25072242,EEEF JOSE PINHEIRO,2007,2
25072242,EEEF JOSE PINHEIRO,2009,2.5
25072242,EEEF JOSE PINHEIRO,2011,3.3
25072242,EEEF JOSE PINHEIRO,2013,3.1
25072242,EEEF JOSE PINHEIRO,2015,2.6
25072277,EEEF MONTE CARMELO CEPES CGI,2005,2.5
