Ano;UF;Município;Escola;Rede;Taxa de participação;Participantes;Dados são representativos;Ciências Humanas;Ciências da Natureza;Linguagens e Códigos;Matemática;Redação;Link da escola no QEdu
2017;PB;Campina Grande;IMACULADA CONCEICAO;Todas;89,19%;132;Sim;613,9;582,8;564,1;660,7;765,9;http://www.qedu.org.br/escola/80666-colegio-imaculada-conceicao/enem
2017;PB;Campina Grande;IRMA JOAQUINA SAMPAIO;Todas;21,31%;13;Não;465,6;467,8;477,5;461;504,6;http://www.qedu.org.br/escola/76525-eeefm-irma-joaquina-sampaio/enem
2017;PB;Campina Grande;ISABEL RODRIGUES DE MELO;Todas;28,57%;18;Não;504,6;450,1;500,4;447,8;495,6;http://www.qedu.org.br/escola/85094-eeefm-isabel-rodrigues-de-melo/enem
2017;PB;Campina Grande;JOSE JOFILLY;Todas;90,91%;20;Sim;494,2;497,4;486;448,7;578;http://www.qedu.org.br/escola/78595-caic-jose-jofilly/enem
2017;PB;Campina Grande;JOSE MIGUEL LEAO;Todas;58,59%;58;Sim;490,6;462,5;488;450,7;527,2;http://www.qedu.org.br/escola/81553-eeefm-jose-miguel-leao/enem
2017;PB;Campina Grande;MAJOR VENEZIANO VITAL DO REGO;Todas;73,74%;73;Sim;471,4;469,5;486,4;460,3;492,1;http://www.qedu.org.br/escola/80707-eeefm-major-veneziano-vital-do-rego/enem
2017;PB;Campina Grande;MARIA AUGUSTA LUCENA BRITO;Todas;25%;3;Não;426,3;462,3;412,4;450,4;433,3;http://www.qedu.org.br/escola/80840-eeef-maria-augusta-lucena-brito/enem
2017;PB;Campina Grande;NDI COLEGIO E CURSO LTDA ME;Todas;100%;29;Sim;569,4;555,2;538,2;575,4;691;http://www.qedu.org.br/escola/265033-ndi-colegio-e-curso-ltda-me/enem
2017;PB;Campina Grande;NENZINHA CUNHA LIMA;Todas;38,03%;27;Não;499;455,9;482,1;448,2;510,4;http://www.qedu.org.br/escola/80343-eeefm-nenzinha-cunha-lima/enem
2017;PB;Campina Grande;PANORAMA JOVEM;Todas;91,97%;126;Sim;588,6;559,8;554,6;591,4;725,9;http://www.qedu.org.br/escola/84267-panorama-jovem/enem
2017;PB;Campina Grande;PREFEITO WILLIAMS DE SOUSA ARRUDA;Todas;100%;11;Sim;488,1;468,1;488,7;486,8;514,6;http://www.qedu.org.br/escola/80792-eeefm-prefeito-williams-de-sousa-arruda/enem
2017;PB;Campina Grande;PROFESSOR ANESIO LEAO;Todas;80,72%;67;Sim;493,8;480,3;487,6;464,1;526,3;http://www.qedu.org.br/escola/81503-eeefm-professor-anesio-leao/enem
2017;PB;Campina Grande;PROFESSOR ANTONIO OLIVEIRA;Todas;69,57%;32;Sim;500,1;483,2;495,2;495,1;538,1;http://www.qedu.org.br/escola/75845-eeefm-professor-antonio-oliveira/enem
2017;PB;Campina Grande;ROSA MISTICA;Todas;100%;56;Sim;534,6;527,1;515,8;562,4;647,5;http://www.qedu.org.br/escola/75430-colegio-rosa-mistica/enem
2017;PB;Campina Grande;SANTO ANTONIO;Todas;93,33%;14;Sim;548,4;527,8;507,6;501,1;641,4;http://www.qedu.org.br/escola/82858-instituto-santo-antonio/enem
2017;PB;Campina Grande;SANTO ONOFRE;Todas;100%;65;Sim;541,8;523,7;526,5;547,3;679,1;http://www.qedu.org.br/escola/80869-escola-santo-onofre/enem
2017;PB;Campina Grande;SAO SEBASTIAO;Todas;67,09%;53;Sim;492,8;462,7;482,8;478,3;550,9;http://www.qedu.org.br/escola/81502-eeefm-sao-sebastiao/enem
2017;PB;Campina Grande;SENADOR ARGEMIRO DE FIGUEIREDO;Todas;92,08%;93;Sim;514,7;493,5;501,8;494,9;552,5;http://www.qedu.org.br/escola/82851-eeefm-senador-argemiro-de-figueiredo/enem
2017;PB;Campina Grande;SEVERINO CABRAL;Todas;93,67%;74;Sim;512,3;495,9;509,7;498;572,4;http://www.qedu.org.br/escola/81581-eeefm-severino-cabral/enem
2017;PB;Campina Grande;VIRGEM DE LOURDES;Todas;85,86%;85;Sim;638,4;612,6;590;689,2;821,9;http://www.qedu.org.br/escola/81202-escola-virgem-de-lourdes/enem
2017;PB;Campina Grande;WALNYZA BORBOREMA CUNHA;Todas;54,17%;13;Sim;506,4;502,3;486,3;522,5;546,2;http://www.qedu.org.br/escola/78981-escola-walnyza-borborema-cunha/enem
;;;;;;;;;;;;;
Fonte: QEdu.org.br. Dados do Ideb/Inep (2017). (2019);;;;;;;;;;;;;
Ajuda sobre como usar esta planilha: http://www.qedu.org.br/ajuda/artigo/474075;;;;;;;;;;;;;
