Cod_setor,Situacao_setor,Pessoas residentes,V002,V003,V004,V005,V006
250070005000001,1,976,466,25,11,474,0
250070005000002,1,852,355,33,24,440,0
250070005000003,1,920,404,71,28,417,0
250070005000004,1,1056,609,39,7,401,0
250070005000005,1,715,358,37,8,312,0
250070005000006,1,1305,674,142,39,450,0
250070005000007,8,514,217,59,18,217,3
250070005000008,8,866,320,142,27,377,0
250070005000009,8,483,295,46,7,135,0
250070005000010,8,859,316,3,21,519,0
250070005000011,8,386,198,15,5,168,0
250070005000012,8,438,159,0,0,279,0
250070005000013,8,713,273,29,2,409,0
250070005000014,8,297,113,32,5,147,0
250070005000015,8,426,217,56,28,125,0
250070005000016,8,531,161,15,9,346,0
250070005000017,8,656,258,7,0,391,0
250070005000018,8,425,261,0,10,154,0
250070005000019,5,453,253,0,1,199,0
250070005000020,1,875,360,19,6,490,0
250070005000021,5,551,243,17,28,263,0
250070015000001,1,186,65,1,0,120,0
250070015000002,8,596,266,7,0,323,0
250070015000003,8,864,455,29,8,372,0
250070015000004,8,279,142,0,6,131,0
250070015000005,8,708,370,10,11,317,0
250070015000006,8,372,248,57,14,43,10
250070015000007,5,899,515,22,7,340,15
250073405000001,1,627,241,15,7,364,0
250073405000002,8,550,226,10,17,297,0
250073405000003,8,476,187,20,16,253,0
250073405000004,1,435,187,15,20,211,2
250077505000001,1,774,322,100,10,342,0
250077505000002,1,1140,313,83,28,716,0
250077505000003,8,1040,380,117,44,499,0
250077505000004,8,810,292,7,26,485,0
250077505000005,8,505,169,26,24,286,0
250077505000006,8,606,360,100,10,136,0
250077505000007,5,560,89,149,2,320,0
250077505000008,1,821,180,45,7,589,0
250077505000009,1,903,357,103,7,436,0
250077505000010,5,291,104,2,1,184,0
250077505000011,5,226,34,25,12,155,0
250080905000001,1,1087,494,74,3,516,0
250080905000002,1,886,363,15,15,493,0
250080905000003,1,1111,432,94,3,582,0
250080905000004,1,988,339,24,1,624,0
250080905000005,1,993,495,256,9,233,0
250080905000006,1,874,384,22,15,453,0
250080905000007,8,280,130,33,10,107,0
250080905000008,8,302,141,19,6,136,0
250080905000009,8,163,40,24,0,99,0
250080905000010,8,137,37,35,1,64,0
250080905000011,8,321,120,8,0,193,0
250080905000012,8,545,207,26,1,311,0
250080905000013,8,570,263,5,0,302,0
250080905000014,8,536,232,7,0,297,0
250080905000015,8,298,132,18,4,143,1
250080905000016,8,593,342,32,1,217,1
250080905000017,8,642,175,10,0,457,0
250080905000018,8,301,161,3,0,137,0
250080905000019,8,212,90,5,0,117,0
250080905000020,8,272,101,8,4,159,0
250080905000021,8,229,85,17,7,120,0
250080905000022,8,318,99,11,6,202,0
250080905000023,8,157,57,14,0,86,0
250080905000024,8,648,100,87,1,460,0
250080905000025,8,117,30,1,1,85,0
250080905000026,8,460,168,2,0,290,0
250080905000027,8,411,215,68,0,128,0
250080905000028,8,308,137,35,0,136,0
250080905000029,8,170,73,10,0,87,0
250080905000030,8,85,53,1,2,29,0
250080905000031,8,217,82,15,0,120,0
250080905000032,5,466,288,178,0,0,0
250080905000033,5,406,143,7,0,256,0
250080905000034,5,430,206,93,0,131,0
250080905000035,5,18,9,0,0,9,0
250080905000036,1,865,278,40,0,547,0
250080905000037,5,739,252,17,4,466,0
250080905000038,5,69,13,0,0,56,0
250090805000001,1,729,281,47,17,384,0
250090805000002,1,615,205,3,2,405,0
250090805000003,1,944,343,34,2,565,0
250090805000004,1,937,372,17,13,535,0
250090805000005,1,419,154,11,3,251,0
250090805000006,1,518,203,3,3,309,0
250090805000007,1,836,272,11,4,549,0
250090805000008,1,401,109,5,0,287,0
250090805000009,1,748,285,43,3,417,0
250090805000010,8,482,174,0,0,308,0
250090805000011,8,678,234,2,0,442,0
250090805000012,8,477,185,0,1,291,0
250090805000013,8,365,149,0,1,215,0
250090805000014,8,443,165,4,13,261,0
250090805000015,8,1284,331,32,2,919,0
250090805000016,1,626,222,5,4,395,0
250090805000017,1,722,275,26,0,421,0
250090805000018,1,816,311,45,22,438,0
250090805000019,1,613,191,12,0,410,0
250100505000001,1,972,334,23,1,614,0
250100505000002,1,1138,373,39,0,726,0
250100505000003,1,595,163,2,0,430,0
250100505000004,1,680,298,17,13,352,0
250100505000005,1,946,396,21,8,521,0
250100505000006,1,702,235,25,0,442,0
250100505000007,1,909,397,26,0,486,0
250100505000008,8,829,269,42,2,516,0
250100505000009,8,372,141,4,3,224,0
250100505000010,8,352,89,22,4,237,0
250100505000011,8,465,195,19,2,249,0
250100505000012,8,602,181,9,0,412,0
250100505000013,8,616,251,3,0,362,0
250100505000014,5,1418,553,9,0,856,0
250100505000015,8,322,76,5,4,237,0
250100505000016,8,365,79,8,0,278,0
250100505000017,8,675,365,0,0,310,0
250100505000018,8,1177,520,46,1,610,0
250100505000019,5,265,114,1,0,150,0
250100505000020,8,1249,513,45,7,684,0
250100505000021,7,256,83,2,0,171,0
250100505000022,5,200,68,4,0,128,0
250100505000023,5,388,185,6,0,197,0
250100505000024,1,669,315,20,0,334,0
250100505000025,1,1047,371,18,0,658,0
250100505000026,1,793,282,54,26,431,0
250100505000027,1,877,325,20,0,532,0
250110405000001,1,372,146,33,4,188,1
250110405000002,1,530,211,44,28,242,5
250110405000003,1,685,200,40,7,438,0
250110405000004,1,636,224,135,0,277,0
250110405000005,1,692,235,54,22,358,23
250110405000006,1,639,255,93,38,246,7
250110405000007,1,1027,339,109,30,547,2
250110405000008,1,772,324,94,3,351,0
250110405000009,1,943,263,38,14,628,0
250110405000010,1,550,175,11,1,363,0
250110405000011,8,485,142,26,1,316,0
250110405000012,8,495,131,46,0,318,0
250110405000013,5,681,181,6,0,494,0
250110405000014,8,207,45,3,0,159,0
250110405000015,8,154,36,2,0,116,0
250110405000016,8,217,18,2,0,197,0
250110405000017,8,204,46,10,0,148,0
250110405000018,8,144,26,3,0,115,0
250110405000019,8,437,124,6,0,307,0
250110405000020,8,508,79,183,82,161,3
250110405000021,8,248,86,17,11,134,0
250110405000022,1,54,11,3,0,40,0
250110405000023,1,603,217,57,10,312,7
250110405000024,1,478,180,30,0,266,2
250110405000025,1,398,108,20,19,251,0
250110405000026,1,588,194,31,2,359,2
250110405000027,1,850,365,103,2,373,7
250110405000028,1,808,242,22,20,522,2
250110405000029,1,588,157,39,33,359,0
250110405000030,1,712,196,62,4,447,3
250110405000031,1,739,185,76,17,461,0
250110410000001,1,650,206,77,0,367,0
250110410000002,8,507,141,3,3,360,0
250110410000003,8,123,29,11,0,83,0
250110410000004,8,608,213,126,33,236,0
250110410000005,8,334,67,72,0,195,0
250110415000001,1,1004,356,115,45,462,26
250110415000002,8,783,223,32,17,511,0
250110415000003,8,451,140,74,9,228,0
250110415000004,8,138,48,0,0,90,0
250110415000005,8,81,26,5,0,50,0
250110420000001,1,280,80,12,3,185,0
250110420000002,8,206,74,35,10,87,0
250110420000003,8,451,89,54,19,289,0
250110420000004,8,646,164,49,15,418,0
250110420000005,8,73,20,10,1,42,0
250110420000006,8,339,59,7,10,263,0
250110420000007,8,457,123,56,10,268,0
