Cod_setor,Situacao_setor,Pessoas residentes,V002,V003,V004,V005,V006
250400905000289,1,965,350,96,18,501,0
250400905000290,1,638,281,15,10,332,0
250400905000291,1,1119,590,13,8,507,1
250400905000292,1,1190,466,24,11,689,0
250400905000293,1,1263,476,85,26,643,33
250400905000294,1,849,323,119,20,386,1
250400905000295,1,1177,433,70,0,672,2
250400905000296,1,1099,315,95,16,673,0
250400905000297,1,994,380,34,26,554,0
250400905000298,1,1118,364,42,9,700,3
250400905000299,1,502,114,16,0,372,0
250400905000300,1,889,280,340,5,264,0
250400905000301,1,1323,559,94,26,643,1
250400905000302,1,902,388,63,11,440,0
250400905000303,1,1144,478,60,27,579,0
250400905000304,1,1114,862,51,2,199,0
250400905000305,1,640,337,22,2,279,0
250400905000306,1,962,481,6,0,475,0
250400905000307,1,1089,511,10,1,567,0
250400905000308,1,1012,434,58,26,490,4
250400905000309,1,915,324,25,12,554,0
250400905000310,1,902,419,17,11,453,2
250400905000311,1,762,300,17,3,442,0
250400905000312,1,1273,247,45,19,962,0
250400905000313,1,1098,192,27,6,873,0
250400905000314,1,510,183,28,10,281,8
250400905000315,1,854,239,366,16,233,0
250400905000316,1,939,325,53,0,558,3
250400905000317,1,650,193,7,0,450,0
250400905000318,1,777,281,25,17,453,1
250400905000319,1,1159,349,71,37,701,1
250400905000320,1,754,92,94,2,566,0
250400905000321,1,1155,397,75,21,662,0
250400905000322,1,690,251,32,23,384,0
250400905000323,1,1164,412,105,27,620,0
250400905000324,1,371,150,21,0,200,0
250400905000325,1,272,119,14,3,131,5
250400905000326,1,199,92,7,8,91,1
250400905000327,1,1160,489,78,23,570,0
250400905000328,1,1155,370,71,31,672,11
250400905000329,1,697,237,64,3,385,8
250400905000330,1,81,21,11,0,49,0
250400905000331,4,745,332,14,3,391,5
250400905000332,4,1111,428,90,11,582,0
250400905000333,4,539,225,31,7,276,0
250400905000334,8,740,292,45,11,391,1
250400905000335,8,230,106,0,0,124,0
250400905000336,8,422,135,24,5,258,0
250400905000337,8,277,97,10,0,170,0
250400905000338,8,810,257,6,0,546,1
250400905000339,1,605,416,10,7,172,0
250400905000340,1,1034,507,46,15,462,4
250400905000341,1,401,156,25,0,220,0
250400905000342,1,814,373,48,8,385,0
250400905000343,1,707,406,1,2,298,0
250400905000344,1,818,250,61,12,495,0
250400905000345,1,1323,281,185,23,834,0
250400905000346,1,882,274,26,2,578,2
250400905000347,1,266,102,14,0,150,0
250400905000348,1,661,329,12,8,310,2
250400905000349,1,459,205,38,3,212,1
250400905000350,1,395,178,47,0,170,0
250400905000351,1,283,174,3,3,102,1
250400905000353,1,197,125,7,0,65,0
250400905000354,1,450,281,24,8,137,0
250400905000355,1,706,418,18,0,270,0
250400905000356,1,499,243,52,15,167,22
250400905000357,1,868,458,70,13,327,0
250400905000358,1,1109,420,166,27,496,0
250400905000359,1,659,260,44,13,342,0
250400905000360,1,804,462,17,9,314,2
250400905000361,1,722,322,22,24,354,0
250400905000362,1,52,34,3,0,15,0
250400905000363,1,897,340,38,1,510,8
250400905000364,1,660,346,43,0,271,0
250400905000365,1,989,361,31,6,591,0
250400905000366,1,794,323,20,16,433,2
250400905000367,1,773,321,19,6,427,0
250400905000368,1,204,57,34,5,108,0
250400905000369,1,905,254,126,28,497,0
250400905000370,1,821,326,35,19,439,2
250400905000371,1,665,305,11,4,345,0
250400905000372,1,358,139,25,1,193,0
250400905000373,1,632,309,28,0,295,0
250400905000374,1,720,378,33,11,298,0
250400905000375,1,741,289,12,27,413,0
250400905000376,1,822,390,22,23,386,1
250400905000377,1,929,429,10,3,487,0
250400905000378,1,319,123,7,0,189,0
250400905000379,1,715,432,20,1,262,0
250400905000380,1,595,279,14,1,301,0
250400905000381,1,1008,475,32,0,501,0
250400905000382,1,434,153,20,1,260,0
250400905000383,1,825,371,13,0,441,0
250400905000384,1,787,357,26,0,404,0
250400905000385,1,807,385,32,1,389,0
250400905000386,1,269,107,26,2,134,0
250400905000387,1,149,81,6,1,61,0
250400905000388,1,484,219,26,11,228,0
250400905000389,1,838,417,37,3,381,0
250400905000390,1,797,294,10,1,492,0
250400905000391,1,980,316,65,0,598,1
250400905000392,1,798,206,469,4,119,0
250400905000393,1,774,278,27,14,455,0
250400905000394,1,673,210,15,0,448,0
250400905000395,1,982,417,28,7,530,0
250400905000396,1,865,324,52,18,471,0
250400905000397,1,777,316,36,26,399,0
250400905000398,1,933,459,42,18,414,0
250400905000399,1,779,321,35,0,423,0
250400905000400,1,295,105,50,13,127,0
250400905000401,1,647,218,123,19,287,0
250400905000402,1,652,321,40,8,282,1
250400905000403,1,386,196,44,14,132,0
250400905000404,1,584,337,6,15,226,0
250400905000405,1,453,247,25,2,179,0
250400905000406,1,555,145,72,15,323,0
250400905000407,1,371,147,20,4,200,0
250400905000408,1,690,200,105,22,358,5
250400905000409,1,382,198,8,7,169,0
250400905000410,1,804,222,19,4,559,0
250400905000411,1,880,271,24,22,563,0
250400905000412,1,1148,594,119,10,425,0
250400905000413,1,651,281,43,17,310,0
250400905000414,1,308,148,31,0,129,0
250400905000415,1,657,254,52,16,335,0
250400905000416,1,739,261,49,10,417,2
250400905000417,1,502,307,10,0,185,0
250400905000418,1,883,524,13,8,337,1
250400905000419,1,668,262,50,14,342,0
250400905000420,1,700,302,34,1,363,0
250400905000421,1,660,437,13,7,203,0
250400905000422,1,805,522,18,8,257,0
250400905000423,1,467,298,28,5,136,0
250400905000424,1,641,375,23,16,227,0
250400905000425,1,745,492,25,4,224,0
250400905000426,1,815,473,13,1,328,0
250400905000427,1,749,372,72,26,273,6
250400905000428,1,446,281,4,4,157,0
250400905000429,1,910,319,78,23,490,0
250400905000430,1,787,219,37,0,531,0
250400905000431,1,907,702,14,16,174,1
250400905000432,1,205,122,9,6,68,0
250400905000433,1,2018,689,145,27,1157,0
250400905000434,4,36,17,4,0,15,0
250400905000435,1,163,76,9,0,78,0
250400905000438,1,190,66,6,3,115,0
250400905000439,1,257,75,34,9,138,1
250400905000440,1,486,207,13,0,266,0
250400905000441,1,832,294,30,5,503,0
250400905000442,1,453,189,35,4,219,6
250400905000443,1,654,208,90,12,344,0
250400905000444,1,656,336,58,17,243,2
250400905000445,1,297,93,11,0,193,0
250400905000446,1,712,311,32,8,361,0
250400905000447,1,260,88,8,3,161,0
250400905000448,1,646,282,33,1,330,0
250400905000449,1,358,129,20,13,196,0
250400915000001,1,172,66,2,15,89,0
250400915000002,8,789,277,107,23,382,0
250400915000003,8,1011,435,50,0,526,0
250400915000004,8,1281,384,40,2,854,1
250400915000005,8,706,139,1,1,565,0
250400915000006,5,258,85,3,0,168,2
250400920000001,1,772,261,16,4,488,3
250400920000002,1,826,257,24,2,543,0
250400920000003,1,670,221,32,4,413,0
250400920000004,1,917,276,11,3,627,0
250400920000005,8,515,187,194,0,134,0
250400920000006,8,479,175,14,0,290,0
250400920000007,8,402,156,9,3,234,0
250400920000008,8,460,171,6,1,282,0
250400920000009,8,816,291,271,2,252,0
250400920000010,4,69,40,4,0,25,0
250400920000011,1,820,294,39,13,474,0
250400920000012,1,730,262,30,3,435,0
250400920000013,1,460,209,26,11,212,2
250400925000001,1,1243,513,49,2,679,0
250400925000002,1,728,350,7,2,369,0
250400925000003,1,834,334,32,18,450,0
250400925000004,1,1165,387,59,4,715,0
250400925000005,1,491,219,10,4,258,0
250400925000006,8,254,108,3,3,140,0
250400925000007,4,200,64,7,4,124,1
250400925000008,8,567,180,62,7,318,0
250400925000009,8,349,120,2,15,212,0
250400925000010,8,717,284,139,1,293,0
250400925000011,8,492,106,10,0,376,0
250400925000012,8,326,133,3,8,182,0
250400925000013,8,494,232,21,0,241,0
250400925000014,8,562,176,64,10,308,4
250400925000015,5,513,151,15,26,321,0
250400925000016,4,1357,382,16,14,943,2
250400925000017,5,477,199,12,27,239,0
250400925000018,1,819,396,29,2,392,0
250400925000019,1,885,404,89,23,323,46
250400925000020,1,595,271,30,15,279,0
250403305000001,1,758,276,56,36,390,0
250403305000002,1,712,240,27,14,431,0
250403305000003,8,348,133,16,29,170,0
250403305000004,1,594,233,89,17,250,5
250403305000005,1,851,479,37,11,324,0
250403305000006,1,591,369,27,0,195,0
250403305000007,5,1023,302,32,8,676,5
250403315000001,1,600,225,16,0,355,4
250403315000002,8,124,47,10,2,65,0
250407405000001,1,748,288,30,18,412,0
250407405000002,1,469,210,5,22,232,0
250407405000003,8,476,111,6,24,335,0
250407405000004,8,520,124,61,28,307,0
250407405000005,8,421,187,1,0,233,0
250407405000006,8,771,285,14,0,472,0
250407405000007,8,194,88,0,3,103,0
250407405000008,1,300,134,2,2,162,0
250410805000001,1,822,546,11,8,257,0
250410805000002,8,665,439,34,2,190,0
250410805000003,1,891,574,2,1,314,0
250415705000001,1,1027,412,40,2,573,0
250415705000002,1,991,305,9,2,675,0
250415705000003,1,552,190,3,0,359,0
250415705000004,8,253,90,1,0,162,0
250415705000005,8,1111,382,21,3,705,0
250415705000006,8,881,260,11,0,609,1
250415705000007,8,121,30,3,0,88,0
250415705000008,8,987,189,46,1,751,0
250415705000009,8,247,67,3,0,177,0
250415705000010,1,888,331,9,1,547,0
250420705000001,1,738,355,22,0,361,0
250420705000002,1,664,296,41,1,326,0
250420705000003,8,280,105,13,1,161,0
250420705000004,8,667,206,7,0,454,0
250420705000005,8,444,58,54,0,332,0
250420705000006,1,878,250,47,5,576,0
250420705000007,1,476,169,8,2,297,0
250420710000001,1,128,42,10,9,67,0
250420710000002,8,537,93,34,0,410,0
250430605000001,1,878,457,24,0,397,0
250430605000002,1,645,293,61,27,264,0
250430605000003,1,829,432,86,3,308,0
250430605000004,1,814,330,50,19,415,0
250430605000005,1,394,116,15,0,263,0
250430605000006,1,800,391,72,15,322,0
250430605000007,1,656,402,11,2,241,0
250430605000008,1,991,437,21,5,521,7
250430605000009,1,1021,537,25,5,450,4
250430605000010,1,1106,498,40,1,565,2
250430605000011,1,778,273,76,34,395,0
250430605000012,1,840,447,96,23,274,0
250430605000013,1,1329,402,36,1,888,2
250430605000014,1,1153,488,82,10,573,0
250430605000015,1,849,456,20,17,356,0
250430605000016,1,706,314,47,0,344,1
250430605000017,1,478,274,17,1,183,3
250430605000018,8,329,108,0,1,220,0
250430605000019,8,659,311,103,5,240,0
250430605000020,8,546,224,22,1,299,0
250430605000021,8,449,177,54,0,218,0
250430605000022,8,659,55,2,2,600,0
250430605000023,8,573,233,20,2,318,0
250430605000024,5,213,152,16,0,45,0
250430605000025,5,106,36,21,6,43,0
250430605000026,1,1166,601,84,0,481,0
250430605000027,1,789,463,16,4,306,0
250430605000028,1,599,266,33,5,295,0
250430605000029,1,967,383,66,33,481,4
250430605000030,1,432,240,37,9,146,0
250430605000031,1,729,256,62,8,403,0
250430605000032,1,799,309,75,14,400,1
250430605000033,1,961,300,62,7,592,0
250430610000001,1,398,132,21,6,239,0
250430610000002,8,177,30,7,1,139,0
250430610000003,8,700,266,35,21,378,0
250430610000004,8,196,39,27,2,128,0
250430610000005,8,537,187,70,17,263,0
250430610000006,8,261,86,6,3,166,0
250430610000007,5,200,91,46,41,22,0
250430625000001,1,216,86,2,0,128,0
250430625000002,8,346,114,31,0,201,0
250430625000003,8,276,130,5,6,135,0
250430625000004,8,346,130,5,0,211,0
250430625000005,8,223,95,26,1,101,0
250430625000006,8,301,107,15,19,160,0
250430625000007,5,339,212,18,2,107,0
250435505000001,1,1024,467,12,1,543,1
250435505000002,8,834,362,5,0,467,0
250435505000003,8,667,233,22,6,406,0
250435505000004,8,624,336,3,3,282,0
250435505000005,5,334,177,17,1,139,0
250435505000006,8,407,292,8,0,107,0
250435505000007,5,653,324,14,0,315,0
250440505000001,1,737,391,20,0,326,0
250440505000002,1,995,371,40,0,584,0
250440505000003,1,1065,446,38,21,560,0
250440505000004,1,1342,434,58,6,844,0
250440505000005,1,1359,630,18,13,698,0
250440505000006,1,1291,540,33,0,718,0
250440505000007,1,950,479,10,8,453,0
250440505000008,1,924,348,67,26,483,0
250440505000009,1,890,186,145,26,533,0
250440505000010,1,798,240,141,12,393,12
250440505000011,8,432,24,0,0,408,0
250440505000012,8,333,118,19,11,185,0
250440505000013,8,834,263,39,33,499,0
250440505000014,8,526,172,13,2,339,0
250440505000015,8,392,155,21,0,215,1
250440505000016,8,658,89,0,0,569,0
250440505000017,8,349,95,2,0,252,0
250440505000018,8,1054,350,33,0,671,0
250440505000019,8,96,26,5,0,65,0
250440505000020,1,802,310,62,1,429,0
250440510000001,1,28,0,4,0,24,0
250440510000002,8,249,43,17,12,177,0
250440510000003,8,640,249,10,0,381,0
250440515000001,1,252,109,8,8,127,0
250440515000002,8,461,65,2,0,394,0
250440515000003,8,717,176,34,9,498,0
250440515000004,5,189,43,5,8,133,0
250450405000001,1,601,277,24,0,300,0
250450405000002,1,770,360,78,5,327,0
250450405000003,1,683,285,29,2,365,2
250450405000004,8,288,119,13,9,147,0
250450405000005,8,240,94,9,2,135,0
250450405000006,8,485,190,5,10,280,0
250450405000007,8,1009,476,60,1,472,0
250450405000008,1,1013,438,37,18,520,0
250450405000009,1,815,358,17,0,440,0
250450405000010,1,680,256,55,1,367,1
250460305000001,1,844,293,75,21,444,11
250460305000002,1,1513,528,247,15,715,8
250460305000003,1,318,80,12,8,217,1
250460305000004,1,744,275,90,18,355,6
250460305000005,1,696,207,79,14,395,1
250460305000006,1,753,223,65,17,448,0
250460305000007,4,341,116,33,8,183,1
250460305000008,4,284,119,28,2,135,0
250460305000009,8,412,147,42,8,206,9
250460305000010,8,872,255,53,0,564,0
250460305000011,5,474,117,88,36,230,3
250460305000012,5,753,59,502,0,192,0
250460305000013,8,145,X,X,X,X,X
250460305000014,8,471,61,47,0,323,40
250460305000015,8,159,53,33,3,70,0
250460305000016,8,229,58,8,6,154,3
250460305000017,1,1010,333,55,11,611,0
250460305000018,1,866,265,73,22,505,1
250460305000019,1,662,194,36,7,425,0
250460305000020,1,13,X,X,X,X,X
250460305000021,4,242,83,14,6,139,0
250460305000022,4,643,259,134,36,204,10
250460305000023,1,701,262,86,18,332,3
250460305000024,1,251,72,20,3,156,0
250460305000025,1,613,154,44,11,404,0
250460305000026,1,661,204,89,17,351,0
250460305000027,1,738,123,61,0,554,0
250460305000028,1,600,192,45,7,350,6
250460305000029,1,1058,326,198,22,502,10
250460305000030,1,306,96,7,2,201,0
250460305000031,1,264,87,11,0,166,0
250460305000032,8,610,123,16,1,470,0
250460305000033,5,600,85,177,1,337,0
250460305000034,5,678,55,87,12,524,0
250460316000001,1,153,67,1,0,85,0
250460316000002,1,165,66,2,4,93,0
250460316000003,1,214,104,22,4,81,3
250460316000004,1,45,26,7,0,12,0
250460316000005,1,22,14,0,0,8,0
250460316000006,1,240,77,34,0,129,0
250460316000007,1,467,86,47,5,329,0
250460316000008,1,230,89,22,7,112,0
250460316000009,1,340,97,19,2,219,3
250470205000001,1,641,132,21,0,488,0
250470205000002,1,969,393,11,10,555,0
250470205000003,1,1332,510,58,0,764,0
250470205000004,8,361,186,16,0,159,0
250470205000005,8,300,45,10,1,244,0
250470205000006,8,186,78,7,0,101,0
250470205000007,8,462,126,12,0,324,0
250470205000008,8,381,166,38,6,170,1
250470205000009,4,55,29,0,1,25,0
250480105000001,1,539,358,4,1,176,0
250480105000002,1,733,449,29,3,252,0
250480105000003,1,785,412,113,0,260,0
250480105000004,1,967,565,28,4,370,0
250480105000005,1,988,484,109,16,375,4
250480105000006,1,584,259,49,0,276,0
250480105000007,1,707,289,48,5,365,0
250480105000008,1,464,218,18,7,221,0
250480105000009,8,168,103,9,1,55,0
250480105000010,8,506,196,44,14,252,0
250480105000011,8,1049,569,71,19,390,0
250480105000012,8,940,182,35,0,723,0
250480105000013,8,748,347,47,0,354,0
250480105000014,8,319,147,9,0,163,0
250480105000015,1,957,656,28,3,270,0
250480105000016,1,927,465,36,0,426,0
250480105000017,1,697,237,92,8,360,0
250480105000018,1,728,367,78,11,272,0
250480105000019,1,1185,449,193,39,503,1
250480105000020,1,685,247,102,4,332,0
250480105000021,1,473,229,115,24,104,1
250485005000001,1,782,372,5,0,405,0
250485005000002,8,485,248,6,14,217,0
250485005000003,8,205,112,0,0,93,0
250485005000004,8,299,123,2,5,168,1
250490005000001,1,687,285,31,4,367,0
250490005000002,1,1318,448,154,28,688,0
250490005000003,1,1771,598,42,4,1127,0
250490005000004,3,1795,569,103,26,1097,0
250490005000005,3,1596,543,66,0,987,0
250490005000006,8,663,269,39,28,323,4
250490005000007,8,672,223,65,8,376,0
250490005000008,8,286,107,45,4,130,0
250490005000009,8,466,161,46,11,248,0
250490005000010,8,307,122,22,9,154,0
250490005000011,8,1079,427,22,1,629,0
250490005000012,8,623,117,10,0,496,0
250490005000013,8,75,42,0,1,32,0
250490005000014,8,774,291,3,0,480,0
250490005000015,8,171,44,8,2,117,0
250490005000016,8,1190,111,8,13,1058,0
250490005000017,1,273,108,17,1,147,0
250490005000018,5,292,116,9,0,167,0
250490005000019,5,536,23,8,0,505,0
250490005000020,5,796,232,39,8,517,0
250490005000021,5,887,271,25,1,590,0
250500605000001,1,1000,501,23,29,447,0
250500605000002,1,802,351,40,21,390,0
250500605000003,1,1048,564,69,13,396,6
250500605000004,1,817,324,57,29,407,0
250500605000005,1,1102,511,131,2,458,0
250500605000006,8,822,351,69,2,400,0
250500605000007,8,207,109,9,6,83,0
250500605000008,8,498,236,1,2,259,0
250500605000009,8,353,144,7,2,200,0
250500605000010,8,102,44,11,0,47,0
250500605000011,8,115,47,8,2,58,0
250510505000001,1,330,214,8,1,107,0
250510505000002,1,643,317,27,5,294,0
250510505000003,1,1064,373,58,16,617,0
250510505000004,1,551,253,8,1,289,0
250510505000005,1,847,342,13,2,490,0
250510505000006,1,721,298,23,7,393,0
250510505000007,1,460,213,8,4,235,0
250510505000008,1,784,279,27,17,461,0
250510505000009,1,509,285,13,2,209,0
250510505000010,1,611,284,46,4,277,0
250510505000011,1,579,271,2,0,306,0
250510505000012,8,528,114,20,0,394,0
250510505000013,8,566,233,31,5,297,0
250510505000014,8,386,141,6,3,236,0
250510505000015,8,242,73,16,1,150,2
250510505000016,8,291,124,4,0,163,0
250510505000017,8,162,50,5,1,106,0
250510505000018,8,363,80,0,0,283,0
250510505000019,8,382,168,3,1,210,0
250510505000020,8,371,104,1,0,266,0
250510505000021,8,268,85,4,0,179,0
250510505000022,5,100,20,0,0,80,0
250510505000023,1,475,253,6,0,216,0
250510505000024,1,807,319,16,14,458,0
250510505000025,1,654,182,16,7,448,1
250510505000026,1,739,230,18,0,491,0
250510505000027,1,506,196,2,0,308,0
250510505000028,1,838,230,13,6,589,0
250510505000029,1,637,243,16,3,375,0
250510505000030,1,760,285,22,16,437,0
250510505000031,1,758,307,40,5,406,0
250510510000001,1,189,83,3,0,103,0
250510510000002,8,368,168,2,0,198,0
250510510000003,8,223,96,5,2,120,0
250510510000004,8,598,215,0,1,382,0
250510510000005,8,509,145,9,0,355,0
250510510000006,8,135,35,0,0,100,0
250510510000007,8,708,278,16,3,411,0
250510510000008,8,316,91,1,1,223,0
250520405000001,1,1016,248,118,14,636,0
250520405000002,1,1031,286,93,13,639,0
250520405000003,1,1027,313,36,10,665,3
250520405000004,1,805,272,131,7,395,0
250520405000005,1,744,239,119,22,363,1
250520405000006,1,985,342,131,0,512,0
250520405000007,8,606,170,38,7,391,0
250520405000008,8,675,230,22,1,422,0
250523805000001,1,936,348,25,6,557,0
250523805000002,1,1133,408,23,11,691,0
250523805000003,8,670,172,14,1,483,0
250523805000004,8,300,121,5,0,174,0
250523805000005,8,24,12,2,0,10,0
250523805000006,8,211,72,7,0,132,0
250523805000007,5,489,163,25,0,301,0
250523805000008,8,56,22,0,0,34,0
250523805000009,5,412,175,21,0,216,0
250523805000010,8,560,173,9,0,378,0
250523805000011,8,59,16,2,0,41,0
250523805000012,5,571,202,24,0,345,0
250523805000013,5,513,113,11,0,388,1
250523805000014,5,216,48,8,0,160,0
250523805000015,5,52,27,0,0,25,0
250527905000001,1,473,191,34,2,246,0
250527905000002,8,515,77,0,0,438,0
250527905000003,8,283,5,25,0,253,0
250527905000004,8,427,162,13,0,252,0
250527905000005,8,556,195,3,2,356,0
250527905000006,8,367,99,4,0,264,0
250527905000007,8,454,114,6,1,333,0
250527905000008,5,340,112,0,1,227,0
250527905000009,8,505,147,66,0,292,0
250527905000010,8,217,74,22,1,120,0
250527905000011,8,504,56,65,0,383,0
250527905000012,8,568,196,9,13,350,0
250530305000001,1,827,175,57,45,550,0
250530305000002,8,540,211,4,3,322,0
250530305000003,8,378,147,3,1,227,0
250530305000004,8,177,57,1,1,118,0
250530305000005,1,583,220,32,6,325,0
250535205000001,1,647,249,16,21,361,0
250535205000002,8,536,171,18,4,343,0
250535205000003,8,675,230,8,12,425,0
250535205000004,8,207,38,14,0,155,0
250535205000005,8,679,246,10,1,422,0
250535205000006,8,438,122,5,6,305,0
250535205000007,8,87,29,5,0,53,0
250535205000008,1,737,292,15,13,417,0
250535205000009,1,894,321,10,36,527,0
250540205000001,1,603,238,8,25,332,0
250540205000002,1,1074,310,50,90,624,0
250540205000003,1,501,196,43,40,222,0
250540205000004,1,1510,592,91,106,721,0
250540205000005,8,636,162,163,60,247,4
250540205000006,8,332,50,6,54,222,0
250540205000007,8,339,91,14,32,202,0
250540205000008,8,518,156,1,0,361,0
250540205000009,8,632,155,18,82,377,0
250540205000010,5,645,279,55,45,266,0
250540205000011,1,500,185,11,42,262,0
250540205000012,1,701,239,3,0,459,0
250550105000001,1,777,504,8,1,264,0
250550105000002,8,942,523,194,19,206,0
250550105000003,8,984,791,11,1,181,0
250550105000004,1,809,360,43,0,406,0
250560005000001,1,1173,298,63,36,776,0
250560005000002,1,1096,324,55,2,715,0
250560005000003,1,1183,302,22,1,858,0
250560005000004,8,558,105,37,13,403,0
250560005000005,8,979,212,177,52,538,0
250560005000006,8,492,110,40,0,342,0
250560005000007,8,263,52,11,0,200,0
250560010000001,1,366,50,32,0,284,0
250560010000002,8,506,59,14,0,433,0
250570905000001,1,1070,363,39,1,667,0
250570905000002,1,670,269,25,1,375,0
250570905000003,1,888,324,32,7,525,0
250570905000004,1,496,204,29,5,258,0
250570905000005,1,782,206,138,10,428,0
250570905000006,8,611,179,69,1,362,0
250570905000007,8,475,10,20,0,445,0
250570905000008,8,248,102,15,0,131,0
250570905000009,8,360,92,9,3,256,0
250570905000010,8,614,194,25,0,395,0
250570905000011,8,918,323,15,16,564,0
250570905000012,8,278,88,6,0,184,0
250570905000013,8,624,268,65,6,285,0
250570905000014,8,378,99,0,0,279,0
250570905000015,1,749,106,39,0,604,0
250570905000016,8,569,253,16,0,298,2
250570905000017,5,270,77,8,0,185,0
250570905000018,5,171,27,0,0,144,0
250570905000019,8,346,90,3,0,253,0
250580805000001,1,940,430,18,0,492,0
250580805000002,1,762,255,33,12,462,0
250580805000003,1,1137,387,34,17,699,0
250580805000004,8,183,60,2,1,120,0
250580805000005,8,316,154,11,0,151,0
250580805000006,8,300,111,10,2,177,0
250590705000001,1,1248,612,58,0,578,0
250590705000002,8,548,126,43,6,373,0
250590705000003,8,377,151,20,7,199,0
250590705000004,8,260,92,12,3,153,0
250590705000005,1,884,284,81,7,512,0
250600405000001,1,1003,588,21,1,392,1
250600405000002,1,1180,602,33,12,533,0
250600405000003,1,653,408,11,0,234,0
250600405000004,1,1023,518,26,3,476,0
250600405000005,1,732,366,23,7,336,0
250600405000006,1,621,389,5,2,225,0
250600405000007,1,641,392,6,7,236,0
250600405000008,1,671,265,17,6,383,0
250600405000009,1,929,381,42,10,496,0
250600405000010,1,807,387,32,8,380,0
250600405000011,1,485,137,19,1,328,0
250600405000012,1,803,394,56,2,349,2
250600405000013,1,920,382,5,0,533,0
250600405000014,1,655,318,3,3,331,0
250600405000015,1,701,294,27,9,371,0
250600405000016,1,1227,492,47,15,671,2
250600405000017,8,675,272,6,1,396,0
250600405000018,8,498,192,3,2,301,0
250600405000019,8,132,47,2,0,83,0
250600405000020,5,1156,414,38,6,698,0
250600405000021,8,627,188,45,9,385,0
250600405000022,8,540,208,55,3,274,0
250600405000023,8,176,39,1,1,135,0
250600405000024,8,524,132,10,2,380,0
250600405000025,8,489,184,6,0,299,0
250600405000026,8,737,252,35,23,427,0
250600405000027,8,614,200,9,14,391,0
250600405000028,8,994,296,15,6,677,0
250600405000029,5,593,162,76,1,354,0
250600405000030,8,192,89,1,0,102,0
250600405000031,8,317,59,9,5,244,0
250600405000032,8,916,330,8,10,568,0
250600405000033,1,796,398,17,15,366,0
250600405000034,1,711,408,29,4,270,0
250600405000035,1,887,340,41,4,502,0
250600405000036,1,675,368,48,0,259,0
250600405000037,1,942,469,32,24,417,0
250600405000038,1,517,256,9,0,252,0
250600405000039,1,729,276,5,6,442,0
250600405000040,1,814,267,21,9,517,0
250600405000041,1,741,343,17,1,380,0
250600405000042,1,857,428,6,14,409,0
250600405000043,1,911,316,52,0,543,0
250600405000044,5,284,87,12,0,185,0
250610305000001,1,884,367,49,5,463,0
250610305000002,1,519,249,3,2,265,0
250610305000003,1,800,296,35,7,462,0
250610305000004,1,802,385,69,10,325,13
250610305000005,1,587,207,27,2,351,0
250610305000006,1,989,189,4,0,796,0
250610305000007,8,955,334,13,1,607,0
250610305000008,8,737,244,6,0,487,0
250610305000009,8,592,172,18,1,401,0
250610305000010,8,783,243,23,20,497,0
250610305000011,8,185,X,X,X,X,X
250610305000012,8,677,177,7,1,492,0
250610305000013,8,883,296,4,0,583,0
250610305000014,8,550,277,42,1,230,0
250610305000015,8,34,X,X,X,X,X
250610305000016,8,311,75,8,8,220,0
250610305000017,8,233,75,1,0,157,0
250610305000018,1,404,178,15,1,210,0
250610305000019,1,480,228,5,5,241,1
250620205000001,1,671,309,31,6,325,0
250620205000002,1,576,291,10,8,267,0
250620205000003,8,375,129,6,8,232,0
250620205000004,8,241,89,7,6,139,0
250620205000005,8,510,136,47,6,321,0
250620205000006,1,560,251,5,7,297,0
250625105000001,1,908,370,27,9,502,0
250625105000002,8,294,138,32,1,123,0
250625105000003,5,785,314,25,6,440,0
250625105000004,8,643,237,13,0,393,0
250625105000005,8,649,284,28,3,334,0
250625105000006,8,613,302,12,5,294,0
250625105000007,8,717,379,2,2,334,0
250625105000008,8,509,226,12,3,268,0
250625105000009,8,840,299,1,1,539,0
250625105000010,8,299,188,9,0,102,0
250625105000011,8,455,122,21,0,312,0
250625105000012,8,222,95,1,6,120,0
250625105000013,8,778,315,9,12,442,0
250625105000014,8,162,76,23,0,63,0
250625105000015,8,502,178,12,0,312,0
250630105000001,1,880,498,68,12,301,1
250630105000002,1,992,383,55,11,543,0
250630105000003,1,707,210,23,6,467,1
250630105000004,1,364,165,5,1,193,0
250630105000005,1,872,380,33,10,449,0
250630105000006,1,727,331,12,4,380,0
250630105000007,1,1017,464,28,11,514,0
250630105000008,1,712,250,31,1,430,0
250630105000009,1,1033,572,88,12,357,4
250630105000010,1,905,547,28,8,322,0
250630105000011,1,1271,642,54,16,559,0
250630105000012,1,635,357,10,0,268,0
250630105000013,1,390,236,13,9,132,0
250630105000014,1,420,199,16,3,201,1
250630105000015,1,876,456,54,7,359,0
250630105000016,1,833,327,16,5,485,0
250630105000017,1,663,267,27,8,356,5
250630105000018,1,528,276,18,4,230,0
250630105000019,1,760,373,5,9,373,0
250630105000020,1,1119,408,65,16,621,9
250630105000021,1,1155,495,110,15,534,1
250630105000022,1,763,246,83,16,418,0
250630105000023,1,657,265,43,10,337,2
250630105000024,1,699,226,14,2,457,0
250630105000025,1,1097,230,41,13,813,0
250630105000026,1,1429,499,122,13,793,2
250630105000027,1,598,355,2,2,239,0
250630105000028,1,1197,504,84,6,594,9
250630105000029,1,1072,489,260,1,321,1
250630105000030,1,1430,508,23,1,898,0
